year,congress,statabb,district,name,party,aauw,age,bday,srvlng,female,white,rgroup,ngirls,nboys,demvote
1997-1998,105,CT,6,"JOHNSON, NANCY L.",2,100,62,05jan1935,15,1,1,1,3,0,.5
1997-1998,105,TX,3,"JOHNSON, SAM R.",2,0,66,11oct1930,7,0,1,1,2,1,.31999999
1997-1998,105,NC,3,"JONES, WALTER B., JR.",2,0,53,10feb1943,3,0,1,2,1,0,.40000001
1997-1998,105,PA,11,"KANJORSKI, PAUL E.",1,63,59,02apr1937,13,0,1,2,1,0,.47999999
1997-1998,105,OH,9,"KAPTUR, MARCIA",1,75,50,17jan1946,15,1,1,2,0,0,.55000001
1997-1998,105,OH,12,"KASICH, JOHN R.",2,0,44,13may1952,15,0,1,1,0,0,.47
1997-1998,105,NY,19,"KELLY, SUE",2,50,60,26sep1936,3,1,1,1,1,3,.47999999
1997-1998,105,MA,8,"KENNEDY, JOSEPH P., II",1,100,44,24sep1952,11,0,1,2,0,2,.76999998
1997-1998,105,RI,1,"KENNEDY, PATRICK J.",1,75,29,14jul1967,3,0,1,2,0,0,.61000001
1997-1998,105,CT,1,"KENNELLY, BARBARA B.",1,100,60,10jul1936,16,1,1,2,3,1,.58999997
1997-1998,105,MI,9,"KILDEE, DALE E.",1,63,67,16sep1929,21,0,1,2,1,2,.46000001
1997-1998,105,MI,15,"KILPATRICK, CAROLYN C.",1,100,51,25jun1945,1,1,0,1,1,1,.87
1997-1998,105,CA,41,"KIM, JAY C.",2,13,57,27mar1939,5,0,0,1,1,2,.43000001
1997-1998,105,WI,3,"KIND, RONALD JAMES",1,88,33,16mar1963,1,0,1,1,0,1,.5
1997-1998,105,NY,3,"KING, PETER T.",2,13,52,05apr1944,5,0,1,2,1,1,.52999997
1997-1998,105,GA,1,"KINGSTON, JOHN (JACK)",2,0,41,24apr1955,5,0,1,1,2,2,.44999999
1997-1998,105,WI,4,"KLECZKA, GERALD",1,63,53,26nov1943,14,0,1,2,0,0,.49000001
1997-1998,105,PA,4,"KLINK, RON",1,63,45,23sep1951,5,0,1,1,1,1,.47
1997-1998,105,WI,2,"KLUG, SCOTT L.",2,50,43,16jan1953,7,0,1,2,0,3,.55000001
1997-1998,105,MI,11,"KNOLLENBERG, JOSEPH",2,0,63,28nov1933,5,0,1,2,0,2,.46000001
1997-1998,105,AZ,5,"KOLBE, JIM",2,38,54,28jun1942,13,0,1,1,0,0,.47
1997-1998,105,OH,10,"KUCINICH, DENNIS J.",1,63,50,08oct1946,1,0,1,2,1,0,.50999999
1997-1998,105,NY,29,"LAFALCE, JOHN",1,50,57,06oct1939,23,0,1,2,0,1,.50999999
1997-1998,105,IL,18,"LAHOOD, RAY",2,38,51,06dec1945,3,0,1,2,2,2,.44
1997-1998,105,TX,9,"LAMPSON, NICHOLAS U.",1,88,51,14feb1945,1,0,1,2,2,0,.47999999
1997-1998,105,CA,12,"LANTOS, TOM",1,100,68,01feb1928,17,0,1,4,2,0,.69999999
1997-1998,105,OK,1,"LARGENT, STEPHEN",2,13,42,28sep1954,3,0,1,1,1,3,.37
1997-1998,105,IA,5,"LATHAM, TOM",2,0,48,14jul1948,3,0,1,1,2,1,.44
